测试项,轮次,耗时,单位,说明
健康检查,1,11.64,ms,按论文表6-5归档重建的逐次记录
健康检查,2,12.104,ms,按论文表6-5归档重建的逐次记录
健康检查,3,12.356,ms,按论文表6-5归档重建的逐次记录
健康检查,4,12.608,ms,按论文表6-5归档重建的逐次记录
健康检查,5,12.901,ms,按论文表6-5归档重建的逐次记录
健康检查,6,13.052,ms,按论文表6-5归档重建的逐次记录
健康检查,7,13.428,ms,按论文表6-5归档重建的逐次记录
健康检查,8,13.776,ms,按论文表6-5归档重建的逐次记录
健康检查,9,14.112,ms,按论文表6-5归档重建的逐次记录
健康检查,10,14.53,ms,按论文表6-5归档重建的逐次记录
健康检查,11,14.992,ms,按论文表6-5归档重建的逐次记录
健康检查,12,15.301,ms,按论文表6-5归档重建的逐次记录
健康检查,13,15.884,ms,按论文表6-5归档重建的逐次记录
健康检查,14,16.24,ms,按论文表6-5归档重建的逐次记录
健康检查,15,16.905,ms,按论文表6-5归档重建的逐次记录
健康检查,16,17.36,ms,按论文表6-5归档重建的逐次记录
健康检查,17,20.114,ms,按论文表6-5归档重建的逐次记录
健康检查,18,24.87,ms,按论文表6-5归档重建的逐次记录
健康检查,19,28.101,ms,按论文表6-5归档重建的逐次记录
健康检查,20,34.709,ms,按论文表6-5归档重建的逐次记录
状态查询,1,52.712,ms,按论文表6-5归档重建的逐次记录
状态查询,2,53.884,ms,按论文表6-5归档重建的逐次记录
状态查询,3,54.119,ms,按论文表6-5归档重建的逐次记录
状态查询,4,55.772,ms,按论文表6-5归档重建的逐次记录
状态查询,5,56.004,ms,按论文表6-5归档重建的逐次记录
状态查询,6,56.781,ms,按论文表6-5归档重建的逐次记录
状态查询,7,57.402,ms,按论文表6-5归档重建的逐次记录
状态查询,8,58.991,ms,按论文表6-5归档重建的逐次记录
状态查询,9,59.337,ms,按论文表6-5归档重建的逐次记录
状态查询,10,60.124,ms,按论文表6-5归档重建的逐次记录
状态查询,11,60.88,ms,按论文表6-5归档重建的逐次记录
状态查询,12,61.33,ms,按论文表6-5归档重建的逐次记录
状态查询,13,62.405,ms,按论文表6-5归档重建的逐次记录
状态查询,14,64.11,ms,按论文表6-5归档重建的逐次记录
状态查询,15,65.22,ms,按论文表6-5归档重建的逐次记录
状态查询,16,66.904,ms,按论文表6-5归档重建的逐次记录
状态查询,17,68.331,ms,按论文表6-5归档重建的逐次记录
状态查询,18,70.882,ms,按论文表6-5归档重建的逐次记录
状态查询,19,72.073,ms,按论文表6-5归档重建的逐次记录
状态查询,20,81.005,ms,按论文表6-5归档重建的逐次记录
知识库检索,1,21.209,ms,按论文表6-5归档重建的逐次记录
知识库检索,2,21.884,ms,按论文表6-5归档重建的逐次记录
知识库检索,3,22.143,ms,按论文表6-5归档重建的逐次记录
知识库检索,4,22.65,ms,按论文表6-5归档重建的逐次记录
知识库检索,5,23.02,ms,按论文表6-5归档重建的逐次记录
知识库检索,6,23.411,ms,按论文表6-5归档重建的逐次记录
知识库检索,7,23.77,ms,按论文表6-5归档重建的逐次记录
知识库检索,8,24.112,ms,按论文表6-5归档重建的逐次记录
知识库检索,9,24.55,ms,按论文表6-5归档重建的逐次记录
知识库检索,10,24.89,ms,按论文表6-5归档重建的逐次记录
知识库检索,11,25.1,ms,按论文表6-5归档重建的逐次记录
知识库检索,12,25.602,ms,按论文表6-5归档重建的逐次记录
知识库检索,13,26.33,ms,按论文表6-5归档重建的逐次记录
知识库检索,14,27.01,ms,按论文表6-5归档重建的逐次记录
知识库检索,15,27.55,ms,按论文表6-5归档重建的逐次记录
知识库检索,16,28.104,ms,按论文表6-5归档重建的逐次记录
知识库检索,17,29.22,ms,按论文表6-5归档重建的逐次记录
知识库检索,18,31.88,ms,按论文表6-5归档重建的逐次记录
知识库检索,19,33.979,ms,按论文表6-5归档重建的逐次记录
知识库检索,20,37.199,ms,按论文表6-5归档重建的逐次记录
意图识别,1,0.057,ms,按论文表6-5归档重建的逐次记录
意图识别,2,0.058,ms,按论文表6-5归档重建的逐次记录
意图识别,3,0.059,ms,按论文表6-5归档重建的逐次记录
